filename,dialogue_id,utterance_id,emotion,speaker
dia0_utt0.wav,0,0,neutral,Chandler
dia0_utt1.wav,0,1,neutral,The Interviewer
dia0_utt2.wav,0,2,neutral,Chandler
dia0_utt3.wav,0,3,neutral,The Interviewer
dia0_utt4.wav,0,4,surprise,Chandler
dia0_utt5.wav,0,5,neutral,The Interviewer
dia0_utt6.wav,0,6,neutral,Chandler
dia0_utt7.wav,0,7,neutral,The Interviewer
dia0_utt8.wav,0,8,neutral,Chandler
dia0_utt9.wav,0,9,neutral,The Interviewer
dia0_utt10.wav,0,10,fear,Chandler
dia0_utt11.wav,0,11,neutral,The Interviewer
dia0_utt12.wav,0,12,surprise,Chandler
dia0_utt13.wav,0,13,neutral,The Interviewer
dia1_utt0.wav,1,0,surprise,Joey
dia1_utt1.wav,1,1,sadness,Rachel
dia1_utt2.wav,1,2,surprise,Joey
dia1_utt3.wav,1,3,fear,Rachel
dia1_utt4.wav,1,4,neutral,Joey
dia1_utt5.wav,1,5,neutral,Joey
dia1_utt8.wav,1,8,neutral,Rachel
dia2_utt0.wav,2,0,neutral,Chandler
dia2_utt1.wav,2,1,neutral,Monica
dia2_utt2.wav,2,2,joy,Chandler
dia2_utt3.wav,2,3,sadness,Monica
dia2_utt4.wav,2,4,surprise,Chandler
dia2_utt5.wav,2,5,neutral,Monica
dia2_utt6.wav,2,6,disgust,Chandler
dia2_utt7.wav,2,7,sadness,Monica
dia2_utt8.wav,2,8,neutral,Chandler
dia2_utt9.wav,2,9,neutral,Monica
dia2_utt10.wav,2,10,joy,Chandler
dia2_utt11.wav,2,11,neutral,Monica
dia2_utt12.wav,2,12,joy,Chandler
dia3_utt0.wav,3,0,surprise,Phoebe
dia3_utt1.wav,3,1,surprise,Chandler
dia3_utt2.wav,3,2,surprise,Phoebe
dia3_utt3.wav,3,3,neutral,Phoebe
dia3_utt4.wav,3,4,neutral,Phoebe
dia3_utt5.wav,3,5,neutral,Phoebe
dia3_utt6.wav,3,6,surprise,Phoebe
dia3_utt8.wav,3,8,sadness,Phoebe
