family,num_features,mean_information_gain,mean_random_forest_importance,mean_xgboost_importance,mean_rank,top20_count
zcr,2,1.5086221882216582,0.006041982932962488,0.0057606483,42.833333333333336,1
spectral_centroid,2,1.5082067278664835,0.0057767169181356,0.007831038,56.0,0
mfcc,26,1.505916221967555,0.00561609019853014,0.005561941,71.87179487179488,2
chroma,24,1.5091579460757967,0.005212620931544396,0.005193797,83.55555555555556,0
spectral_bandwidth,2,1.4957244849815032,0.005733626314912792,0.0059592715,84.33333333333333,0
mfcc_delta,26,1.5065622256505218,0.005256975410443175,0.004842358,96.21794871794872,0
gfcc,26,1.5065545004419647,0.005119022930085829,0.0054633473,97.0,0
f0,2,1.4220402607671763,0.005265009217717881,0.0062067383,103.66666666666667,0
mfcc_delta2,26,1.5039754698241279,0.005263008110486805,0.004805029,108.07692307692308,0
gfcc_delta2,26,1.5063926649863228,0.004967961071110761,0.0052032424,109.26923076923077,0
rms,2,1.505221790238871,0.004824484692803723,0.0056099743,109.66666666666666,0
spectral_flux,2,1.5091131444014845,0.004781717179448249,0.005279666,113.0,0
gfcc_delta,26,1.5062511480327525,0.0049327123997653325,0.0049723214,113.85897435897436,0
