feature,family,information_gain,random_forest_importance,xgboost_importance,information_gain_rank,random_forest_importance_rank,xgboost_importance_rank,mean_rank
zcr_std,zcr,1.5108706038167539,0.006454836565044394,0.0064244145,25,2,23,16.666666666666668
mfcc_12_std,mfcc,1.5126911251867958,0.005811775851055798,0.006365959,15,15,25,18.333333333333332
mfcc_5_mean,mfcc,1.510673795772117,0.005744215342559391,0.007185481,29,21,8,19.333333333333332
mfcc_1_mean,mfcc,1.5103382320858296,0.005689617584000776,0.0067101223,32,23,13,22.666666666666668
mfcc_3_mean,mfcc,1.5114882243396084,0.006238938522871242,0.005884793,22,4,44,23.333333333333332
spectral_centroid_std,spectral_centroid,1.5079164838692962,0.006177288299297166,0.011258779,65,7,1,24.333333333333332
chroma_4_std,chroma,1.5176664546121406,0.0054351591678034475,0.0063988813,4,48,24,25.333333333333332
chroma_6_std,chroma,1.5167645320551135,0.005563550036593509,0.005770745,7,35,50,30.666666666666668
chroma_5_std,chroma,1.5129740052293148,0.0055439668412765675,0.0059235,13,38,42,31.0
mfcc_4_mean,mfcc,1.5096605193902426,0.006559069674093545,0.00571896,40,1,54,31.666666666666668
mfcc_3_std,mfcc,1.5102327664599893,0.005529952789659113,0.0058126342,33,40,48,40.333333333333336
mfcc_delta_5_mean,mfcc_delta,1.5094624049484235,0.005437348309207558,0.0061334567,42,47,33,40.666666666666664
chroma_4_mean,chroma,1.5118858954017098,0.005560149417193884,0.0053628096,18,36,71,41.666666666666664
gfcc_5_mean,gfcc,1.5088792504923334,0.00622516259388167,0.005181167,52,5,83,46.666666666666664
mfcc_4_std,mfcc,1.5042661466117082,0.006223029057831405,0.0074509396,130,6,5,47.0
mfcc_delta_1_std,mfcc_delta,1.5056801540495142,0.005754928481944844,0.0068416474,112,20,12,48.0
gfcc_4_mean,gfcc,1.5035391252967432,0.006313941834410839,0.007472284,139,3,4,48.666666666666664
mfcc_delta_4_std,mfcc_delta,1.507634807929271,0.005617470972410705,0.0056713754,70,27,58,51.666666666666664
mfcc_12_mean,mfcc,1.508185386624938,0.006057546438761123,0.005093569,62,9,89,53.333333333333336
chroma_3_std,chroma,1.5193876892304918,0.0052222504555757545,0.0054024463,3,89,70,54.0
